rosbagTimestamp,seq,secs,nsecs,xl,yl,zl,normality
1.57E+18,277,1574069841,492193631,-0.101596275,0.13630186,0,1
1.57E+18,278,1574069841,736940195,-0.149406287,0.200443911,0,1
1.57E+18,279,1574069842,33352076,-0.173311293,0.232514937,0,1
1.57E+18,280,1574069842,294534298,-0.155382538,0.208461668,0,1
1.57E+18,281,1574069842,484033823,-0.155382538,0.208461668,0,1
1.57E+18,282,1574069842,730647363,-0.035857509,0.048106539,0,1
1.57E+18,283,1574069842,976518712,-0.017928754,0.024053269,0,1
1.57E+18,284,1574069843,206561685,-0.119525029,0.160355129,0,1
1.57E+18,285,1574069843,465265317,-0.233073807,0.312692501,0,1
1.57E+18,286,1574069843,734316736,-0.065738766,0.088195321,0,1
1.57E+18,287,1574069843,975125053,-0.047810012,0.064142052,0,1
